long,lat,id,nombre,sector,origen,grado_de_a,fecha_de_i,año_de_i,mes_de_i,jurisdicci,calle,altura,piso_dpto,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4091021098848,-34.6467832669482,1,STAR X,HARDWARE,Nacional,En Operación,ene-12,2012,01,CABA,PEPIRI,758,,,Parque Patricios,Comuna 4,1437.0,C1437EIP
-58.3959038392808,-34.6425712671735,2,IRON MOUNTAIN,BPO,Extranjero,En Operación,Previo Ley 2972,Previo Ley 2972,Previo Ley 2972,CABA,AMANCIO ALCORTA,2482,,,Parque Patricios,Comuna 4,1283.0,C1283AAX
-58.3904550167836,-34.6367633112771,3,TATA,BPO,Extranjero,En Operación,sep-09,2009,09,CABA,USPALLATA,2034,,,Parque Patricios,Comuna 4,1282.0,C1282AEJ
-58.40471865828079,-34.6346616191639,4,IBC ARGENTINA,SOFTWARE,Nacional,En Operación,nov-09,2009,11,CABA,CATULO CASTILLO,2930,PB 5,,Parque Patricios,Comuna 4,1261.0,C1261ACN
-58.4095875328407,-34.6356970770676,5,CZYNE,SOFTWARE,Nacional,En Operación,nov-09,2009,11,CABA,CATULO CASTILLO,3230,Piso 2 of 22,,Parque Patricios,Comuna 4,1261.0,C1261ACT
-58.409958692085105,-34.6354036876751,6,DATCO,SOFTWARE,Nacional,En Operación,Previo Ley 2972,Previo Ley 2972,Previo Ley 2972,CABA,CATULO CASTILLO,3251,,,Parque Patricios,Comuna 4,1261.0,C1261ACS
-58.406088638065995,-34.634891907605,7,AVANZIT,SOFTWARE,Nacional,En Operación,dic-10,2010,12,CABA,La Rioja,2011,,,Parque Patricios,Comuna 4,1244.0,C1244ABQ
-58.4127807879125,-34.6356669909102,8,EXO,HARDWARE,Nacional,En Operación,feb-13,2013,02,CABA,CHICLANA,3436,,,Boedo,Comuna 5,1260.0,C1260ACO
-58.4000684716131,-34.6333811856509,9,ENTORNOS EDUCATIVOS,SOFTWARE,Nacional,En Operación,Previo Ley 2972,Previo Ley 2972,Previo Ley 2972,CABA,JUJUY,1963,Piso 9 D,,Parque Patricios,Comuna 4,1247.0,C1247ABH
-58.403130812199706,-34.633454329060996,10,GRUPO GC,SOFTWARE,Nacional,En Operación,oct-09,2009,10,CABA,ESTEBAN DE LUCA,1981,,,Parque Patricios,Comuna 4,1246.0,C1246ABM
-58.40789726793489,-34.6433392568611,11,DINATECH,BPO,Nacional,En Operación,dic-14,2014,12,CABA,El Refran,3246,,,Parque Patricios,Comuna 4,1437.0,C1437IWB
